protein_id,target_dG,predicted_dG,error,sq_error,E_activation,q_unf,q_ts,q_fold,barrier_warning,status,failure_reason
1afk_A,9.3,9.538095995373894,0.23809599537389303,0.056689703013084895,0.0,61,62,84,barrier_below_unfolded,ok,
1agy_A,9.7,8.277744548311219,-1.4222554516887804,2.0228105698584566,0.0,98,99,129,barrier_below_unfolded,ok,
1bp4_A,32.9,4.677798938309039,-28.22220106169096,796.4926327665104,0.0,105,106,129,barrier_below_unfolded,ok,
1dzj_A,12.1,-0.0009648053893798192,-12.10096480538938,146.43334922127244,0.0,73,75,76,barrier_below_unfolded,ok,
1ey0_A,8.18,2.258951863957769,-5.921048136042231,35.05881102932918,0.0,67,68,81,barrier_below_unfolded,ok,
1f6s_A,6.7,15.359803731195385,8.659803731195385,74.99220066282551,0.0,60,61,93,barrier_below_unfolded,ok,
1flv_A,17.1,0.7176296812741754,-16.382370318725826,268.38205725986893,0.0,83,84,92,barrier_below_unfolded,ok,
1ftg_A,3.6,2.018917994982104,-1.5810820050178962,2.4998203065914106,0.0,83,84,98,barrier_below_unfolded,ok,
1fw7_A,8.7,14.587830456831867,5.887830456831868,34.66654748839696,0.0,54,55,83,barrier_below_unfolded,ok,
1iwd_A,31.0,7.29348301011521,-23.70651698988479,561.9989477916962,0.0,107,108,137,barrier_below_unfolded,ok,
1jxg_A,6.2,0.14402493560445606,-6.055975064395544,36.674833980580615,0.0,49,50,52,barrier_below_unfolded,ok,
1l63_A,12.5,5.954340611879061,-6.545659388120939,42.845656825295784,0.0,80,81,103,barrier_below_unfolded,ok,
1p9y_A,6.8,6.096387521980134,-0.703612478019866,0.49507051922525647,0.0,58,59,75,barrier_below_unfolded,ok,
1q3i_A,10.3,0.05058861333552045,-10.24941138666448,105.0504337730875,0.0,95,96,98,barrier_below_unfolded,ok,
1qpu_A,11.66,12.924117368405959,1.2641173684059588,1.5979927211056064,0.0,52,53,78,barrier_below_unfolded,ok,
1qqr_A,5.7,-0.016400761725719804,-5.71640076172572,32.67723766865839,0.0,68,70,71,barrier_below_unfolded,ok,
1ril_A,12.4,0.008153448659413698,-12.391846551340587,153.55786095197158,0.0,73,74,76,barrier_below_unfolded,ok,
1sh7_A,15.5,14.504268836232768,-0.9957311637672319,0.991480550497246,0.0,140,141,198,barrier_below_unfolded,ok,
1tmy_A,9.54,1.8998666495870111,-7.640133350412988,58.37163761209279,0.0,58,59,70,barrier_below_unfolded,ok,
1ujp_A,12.06,4.105572740685631,-7.95442725931437,63.27291302372352,0.0,121,122,144,barrier_below_unfolded,ok,
1v9e_A,2.2,1.6932823892976074,-0.5067176107023927,0.25676273699594165,0.0,129,130,145,barrier_below_unfolded,ok,
2afg_A,4.97,-0.04598099391813548,-5.015980993918135,25.160065331347965,0.009357329711306761,64,66,67,,ok,
2bmv_A,0.63,2.1127381633842646,1.4827381633842647,2.198512461156142,0.0,81,82,109,barrier_below_unfolded,ok,
2g8c_O,17.8,19.372562316553143,1.5725623165531424,2.4729522394429857,0.0,122,123,181,barrier_below_unfolded,ok,
2kdi_A,7.89,6.240635002996839,-1.6493649970031603,2.720404893339235,0.0,56,57,73,barrier_below_unfolded,ok,
2kyc_A,4.81,2.4906063078524596,-2.31939369214754,5.379587099173797,0.0,53,54,64,barrier_below_unfolded,ok,
2ojr_A,4.3,-0.06145623850949278,-4.361456238509493,19.022300520433372,0.015246506751743993,54,56,57,,ok,
2oua_A,13.23,13.574713596052504,0.34471359605250385,0.11882746330344879,1.9301807806681808,93,176,183,,ok,
2pu3_A,3.42,1.6929271263325063,-1.7270728736674936,2.9827807109580946,0.0,103,104,118,barrier_below_unfolded,ok,
2rn2_A,7.5,2.7486481880297617,-4.751351811970238,22.575344041112867,0.0,77,78,92,barrier_below_unfolded,ok,
2sns_A,4.3,-0.14196138271581304,-4.441961382715813,19.731020925538576,0.07953220710452769,67,70,71,,ok,
2trx_A,18.4,4.8876080331645895,-13.512391966835409,182.58473666539808,0.0,53,54,71,barrier_below_unfolded,ok,
2vnd_A,6.5,0.08386185220368247,-6.4161381477963175,41.16682873160716,0.0,103,104,106,barrier_below_unfolded,ok,
2za4_B,9.99,3.1808577218056655,-6.809142278194335,46.36441856469354,0.0,44,45,54,barrier_below_unfolded,ok,
3aa3_A,3.22,3.1724794301183437,-0.04752056988165654,0.0022582045618774024,0.0,77,78,95,barrier_below_unfolded,ok,
3bet_A,2.15,0.44074500467752387,-1.709254995322476,2.9215526390348376,0.0,128,129,136,barrier_below_unfolded,ok,
3fqy_A,14.9,2.0474143422266025,-12.852585657773398,165.18895809040245,0.0,63,64,76,barrier_below_unfolded,ok,
3hnk_A,3.08,7.109679641746226,4.029679641746226,16.23831801510399,0.0,52,53,70,barrier_below_unfolded,ok,
3kvd_D,16.6,0.16566990251801883,-16.434330097481983,270.08720575300214,0.0,120,121,125,barrier_below_unfolded,ok,
3l0s_A,9.7,6.171285030008278,-3.5287149699917215,12.451829339443677,0.0,111,112,137,barrier_below_unfolded,ok,
3lyz_A,10.2,8.175658168409797,-2.0243418315902026,4.097959851125976,0.0,64,65,87,barrier_below_unfolded,ok,
4cnr_A,14.44,3.4289902207119383,-11.011009779288061,121.24233635957732,0.0,128,129,151,barrier_below_unfolded,ok,
4o9s_A,30.19,-0.05173003701882806,-30.24173003701883,914.5622356319269,0.01709842375848325,87,89,90,,ok,
4orr_A,3.1,12.200408933405555,9.100408933405555,82.81744275520764,0.0,80,81,114,barrier_below_unfolded,ok,
