protein_id,target_dG,predicted_dG,error,sq_error,E_activation,q_unf,q_ts,q_fold,barrier_warning,status,failure_reason
1afk_A,9.3,5.579703119806794,-3.7202968801932066,13.840608876775306,0.0,61,62,79,barrier_below_unfolded,ok,
1agy_A,9.7,3.372396378181378,-6.327603621818621,40.03856759485213,0.0,98,99,118,barrier_below_unfolded,ok,
1bp4_A,32.9,5.3916520322437265,-27.508347967756272,756.7092079151606,0.0,105,106,131,barrier_below_unfolded,ok,
1dzj_A,12.1,3.4376293250703753,-8.662370674929624,75.03666570988071,0.0,73,74,89,barrier_below_unfolded,ok,
1ey0_A,8.18,2.2002587410903374,-5.979741258909662,35.75730552350652,0.0,67,68,80,barrier_below_unfolded,ok,
1f6s_A,6.7,9.027564775710246,2.327564775710246,5.417557785127088,0.0,60,61,84,barrier_below_unfolded,ok,
1flv_A,17.1,0.05296539917323173,-17.04703460082677,290.6013886817851,0.0,83,84,86,barrier_below_unfolded,ok,
1ftg_A,3.6,0.10481518584312255,-3.4951848141568775,12.216316885112846,0.0,83,84,87,barrier_below_unfolded,ok,
1fw7_A,8.7,13.991316722623992,5.291316722623993,27.998032659120312,0.0,54,55,83,barrier_below_unfolded,ok,
1iwd_A,31.0,6.709581284995068,-24.290418715004932,590.0244413502619,0.0,107,108,137,barrier_below_unfolded,ok,
1jxg_A,6.2,2.370469899863501,-3.829530100136499,14.665300787851466,0.0,49,50,63,barrier_below_unfolded,ok,
1l63_A,12.5,5.087608846662889,-7.412391153337111,54.943542610070274,0.0,80,81,102,barrier_below_unfolded,ok,
1p9y_A,6.8,4.288605046150167,-2.511394953849833,6.307104614222405,0.0,58,59,74,barrier_below_unfolded,ok,
1q3i_A,10.3,0.36512512499258776,-9.934874875007413,98.70173878205355,0.0,95,96,102,barrier_below_unfolded,ok,
1qpu_A,11.66,7.607021411516698,-4.0529785884833025,16.426635438704103,0.0,52,53,70,barrier_below_unfolded,ok,
1qqr_A,5.7,0.21202326590960752,-5.487976734090393,30.117888633917453,0.0,68,69,72,barrier_below_unfolded,ok,
1ril_A,12.4,0.0465843626894582,-12.353415637310542,152.60687790814862,0.0,73,74,76,barrier_below_unfolded,ok,
